SIPRI Transfers Database 


 Database search results for buyer 'All Countries' and seller  'All Countries' and the years from 2011 to 2021 - (created: 11-03-2023)

Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
31455;United States;Norway;RIM-162 ESSM;SAM;Missiles;2000;Yes;30;Yes;2011;Yes;New;0.4000;0.4000;12;Yes
24919;United States;Spain;RIM-162 ESSM;SAM;Missiles;2008;Yes;50;Yes;2012;Yes;New;0.4000;0.4000;20;Yes
54334;United States;Colombia;King Air;light transport ac;Aircraft;2010;Yes;1;No;2011;No;New;2.8500;2.8500;2.85;No
53979;Belarus;Yemen;T-80;tank;Armoured vehicles;2009;Yes;12;Yes;2011;Yes;Second hand but modernized;3.0000;1.98;23.76;No
53400;United States;Afghanistan;Cessna-208 Caravan;light transport ac;Aircraft;2011;No;6;No;2011;No;New;1.0000;1.0000;6;No
54337;Belarus;Yemen;SG-1000;gas turbine;Engines;2009;Yes;34;Yes;2011;No;Second hand but modernized;0.2000;0.132;4.488;No
51618;Austria;Ghana;DA42MPP;reconnaissance ac;Aircraft;2011;Yes;2;No;2011;No;New;0.5000;0.5000;1;No
34643;United States;Saudi Arabia;AH-64D Apache;combat helicopter;Aircraft;2008;No;12;Yes;2011;No;New;15.5000;15.5000;186;No
54357;Russia;Guinea;Tigr;APV;Armoured vehicles;2011;Yes;4;No;2011;No;New;0.1500;0.1500;0.6;No
54353;Belarus;Turkmenistan;Caracal;tank destroyer;Armoured vehicles;2010;No;4;Yes;2011;Yes;New;0.5000;0.5000;2;No
50104;Spain;Mauritania;C-212MP;MP aircraft;Aircraft;2010;No;1;No;2011;No;Second hand;8.5000;3.4;3.4;No
51355;Italy;Czechia;LMV;APV;Armoured vehicles;2009;No;30;Yes;2012;No;New;0.1500;0.1500;4.5;No
51355;Italy;Czechia;LMV;APV;Armoured vehicles;2009;No;19;No;2011;No;New;0.1500;0.1500;2.85;No
54480;United Kingdom;Thailand;RK-270;diesel engine;Engines;2008;No;2;No;2012;No;New;2.5000;2.5000;5;No
31127;France;UAE;Ocean Master;MP aircraft radar;Sensors;2009;No;2;No;2012;No;New;2.5000;2.5000;5;No
54970;Ukraine;Bangladesh;R-27R/T;BVRAAM;Missiles;2011;Yes;12;No;2011;No;New;0.1900;0.1900;2.28;No
53618;Ukraine;Armenia;L-39C Albatros;trainer aircraft;Aircraft;2009;Yes;2;No;2011;No;Second hand;4.5000;1.8;3.6;No
